"";"value";"experimentVariant"
"1";9,77311267424938;"Treatment"
"2";9,31124557661141;"Treatment"
"3";11,1728280618157;"Treatment"
"4";11,6245100581039;"Treatment"
"5";10,4623312287876;"Treatment"
"6";10,3811435221337;"Treatment"
"7";11,5479241097813;"Treatment"
"8";11,6017357847944;"Treatment"
"9";10,1714644311471;"Treatment"
"10";12,1911555744297;"Treatment"
"11";9,9463312297429;"Treatment"
"12";10,4082315476769;"Treatment"
"13";10,2981263130825;"Treatment"
"14";8,45787472876029;"Treatment"
"15";10,3728515802014;"Treatment"
"16";8,86113087495187;"Treatment"
"17";8,15544352087305;"Treatment"
"18";9,50553022093334;"Treatment"
"19";12,0871720178799;"Treatment"
"20";11,0155045802208;"Treatment"
"21";10,5031202525823;"Treatment"
"22";11,214089057435;"Treatment"
"23";10,5252288354178;"Treatment"
"24";10,9574326616122;"Treatment"
"25";10,6649746691144;"Treatment"
"26";11,8351477032522;"Treatment"
"27";8,01676802196707;"Treatment"
"28";10,6459558657132;"Treatment"
"29";9,89258152410165;"Treatment"
"30";8,70862752490823;"Treatment"
"31";10,7433567577459;"Treatment"
"32";8,15840003769145;"Treatment"
"33";10,4180391674975;"Treatment"
"34";10,6797637171593;"Treatment"
"35";9,98378172344761;"Treatment"
"36";10,4223471740428;"Treatment"
"37";10,943334945722;"Treatment"
"38";11,9055923607918;"Treatment"
"39";11,6897132670466;"Treatment"
"40";10,3998844616831;"Treatment"
"41";11,0380074046673;"Treatment"
"42";9,32285276870924;"Treatment"
"43";9,97548282350801;"Treatment"
"44";10,1809922318784;"Treatment"
"45";8,81630288520529;"Treatment"
"46";10,3547566744559;"Treatment"
"47";11,1051339131708;"Treatment"
"48";11,0421245887391;"Treatment"
"49";10,1343895134533;"Treatment"
"50";10,7379886830565;"Treatment"
"51";10,3804953740268;"Control"
"52";9,54686666784264;"Control"
"53";11,0882146509904;"Control"
"54";10,1472740570122;"Control"
"55";9,78980767524929;"Control"
"56";8,73578048192978;"Control"
"57";10,7806383791004;"Control"
"58";11,1393983918781;"Control"
"59";10,0675199319953;"Control"
"60";9,53130741186623;"Control"
"61";11,6019437103945;"Control"
"62";12,389786234284;"Control"
"63";9,58267213180535;"Control"
"64";10,5378674851477;"Control"
"65";9,01993741613367;"Control"
"66";8,94842155753232;"Control"
"67";9,17231178971289;"Control"
"68";12,1558070614418;"Control"
"69";10,1560934694132;"Control"
"70";10,2700535743602;"Control"
"71";9,7736902808003;"Control"
"72";10,2008203623341;"Control"
"73";10,3507972292203;"Control"
"74";9,45995070491857;"Control"
"75";11,1479068291969;"Control"
"76";10,1152619181507;"Control"
"77";9,96717734565128;"Control"
"78";10,5231201980007;"Control"
"79";9,83353253784834;"Control"
"80";10,6807432731733;"Control"
"81";8,87535930869717;"Control"
"82";10,5679610657059;"Control"
"83";10,1991485435955;"Control"
"84";9,90197009615303;"Control"
"85";11,6371877317264;"Control"
"86";9,01032810426802;"Control"
"87";9,21910793851577;"Control"
"88";11,2263662485823;"Control"
"89";9,65938568546489;"Control"
"90";9,84253515168427;"Control"
"91";8,75261510863016;"Control"
"92";10,392660866535;"Control"
"93";11,1019488266369;"Control"
"94";9,49197989560515;"Control"
"95";8,31031501249372;"Control"
"96";8,78435095027286;"Control"
"97";10,5508934132957;"Control"
"98";10,0990560108317;"Control"
"99";9,49269600637405;"Control"
"100";8,51186119058183;"Control"
"101";8,62258775872863;"Control"
"102";8,01854769407949;"Control"
"103";10,2808274454833;"Control"
"104";10,6922160535263;"Control"
"105";10,9623961647586;"Control"
"106";9,36472220404069;"Control"
"107";11,0862981076737;"Control"
"108";10,3201316089802;"Control"
"109";10,7097404054181;"Control"
"110";9,92077900719597;"Control"
"111";9,47429457527517;"Control"
"112";9,30891087875064;"Control"
"113";10,750583981031;"Control"
"114";10,4086452594968;"Control"
"115";10,1066084939791;"Control"
"116";8,6303650937324;"Control"
"117";9,90731428186719;"Control"
"118";8,61094581688063;"Control"
"119";7,66352098209058;"Control"
"120";9,42460667083465;"Control"
"121";8,6402838822717;"Control"
"122";10,563114224244;"Control"
"123";10,0380691123625;"Control"
"124";11,1916726878073;"Control"
"125";9,27906276012327;"Control"
"126";10,3998449281524;"Control"
"127";9,73294595891507;"Control"
"128";11,7902902523105;"Control"
"129";9,02810923677069;"Control"
"130";9,95800621855637;"Control"
"131";10,0761381665361;"Control"
"132";9,69062314589394;"Control"
"133";10,8703330830034;"Control"
"134";9,0104564819325;"Control"
"135";10,818234015957;"Control"
"136";9,72715516581524;"Control"
"137";10,5468456026665;"Control"
"138";10,9457147877428;"Control"
"139";9,74880280490602;"Control"
"140";9,06527877722864;"Control"
"141";9,51274160969535;"Control"
"142";9,58674143509444;"Control"
"143";8,59520353080504;"Control"
"144";9,8768552153988;"Control"
"145";11,0122655326024;"Control"
"146";9,90406651018951;"Control"
"147";9,68769523568993;"Control"
"148";9,08901878152633;"Control"
"149";8,16178651137898;"Control"
"150";10,2123541450264;"Control"
"151";11,5615917488697;"Control"
"152";9,03545519352548;"Control"
"153";9,54047522888559;"Control"
"154";8,74380843585841;"Control"
"155";9,16899035792041;"Control"
"156";11,2156213223071;"Control"
"157";10,3977670098527;"Control"
"158";10,0055875175214;"Control"
"159";10,9552290403747;"Control"
"160";9,55663790062202;"Control"
"161";9,67013687703563;"Control"
"162";10,6356796161162;"Control"
"163";11,321477243041;"Control"
"164";10,6835309806202;"Control"
"165";9,62145931763801;"Control"
"166";8,75187734866859;"Control"
"167";9,57239414674053;"Control"
"168";9,93506275203319;"Control"
"169";9,66214559870953;"Control"
"170";10,6674990710866;"Control"
"171";9,28425635928044;"Control"
"172";11,3973215688464;"Control"
"173";10,4487369185371;"Control"
"174";10,0476238920443;"Control"
"175";10,6343316448239;"Control"
"176";9,82571538254779;"Control"
"177";11,0723179217567;"Control"
"178";9,84952217311273;"Control"
"179";8,94001475391922;"Control"
"180";9,34986891752392;"Control"
"181";10,2443087138118;"Control"
"182";8,23688204153558;"Control"
"183";12,161718219671;"Control"
"184";10,3022317665543;"Control"
"185";8,6590310742107;"Control"
"186";11,6603877811682;"Control"
"187";9,79929731727153;"Control"
"188";8,67983114318386;"Control"
"189";8,23780703776328;"Control"
"190";10,3250979035284;"Control"
"191";9,73274588565486;"Control"
"192";10,3749416699379;"Control"
"193";9,72676258749484;"Control"
"194";9,43864778789715;"Control"
"195";10,5957059958756;"Control"
"196";10,4095536156094;"Control"
"197";8,69392852196967;"Control"
"198";10,1442410473548;"Control"
"199";9,28478013646598;"Control"
"200";9,04523301554076;"Control"
"201";7,88392562549008;"Control"
"202";10,7138418634119;"Control"
"203";10,3927384275004;"Control"
"204";10,9115205029945;"Control"
"205";9,68705396978089;"Control"
"206";9,13600407714125;"Control"
"207";9,53313082166801;"Control"
"208";11,0568840137723;"Control"
"209";10,1589121298802;"Control"
"210";9,91416070854831;"Control"
"211";10,4404414753215;"Control"
"212";8,70352503591917;"Control"
"213";10,2303244341394;"Control"
"214";9,56784513309512;"Control"
"215";6,43654075863162;"Control"
"216";11,327989477114;"Control"
"217";11,0560207170234;"Control"
"218";10,1317800819068;"Control"
"219";11,7687666255786;"Control"
"220";10,6746688379177;"Control"
"221";9,88099158126749;"Control"
"222";13,130345728722;"Control"
"223";9,91893798064315;"Control"
"224";8,96178806067313;"Control"
"225";9,9549066532562;"Control"
"226";10,3922257753302;"Control"
"227";10,0146485844658;"Control"
"228";10,2666517089061;"Control"
"229";9,92503787937038;"Control"
"230";9,92272043226482;"Control"
"231";8,98358590930101;"Control"
"232";9,70106526081466;"Control"
"233";10,768285478329;"Control"
"234";10,8732043827632;"Control"
"235";11,7290771802922;"Control"
"236";9,73347361257598;"Control"
"237";10,8338613324143;"Control"
"238";8,86471594976712;"Control"
"239";10,8275376177245;"Control"
"240";10,6871270183302;"Control"
"241";10,1170586779806;"Control"
"242";10,3521729158375;"Control"
"243";9,3592918552447;"Control"
"244";9,5330578748168;"Control"
"245";9,46217077537818;"Control"
"246";12,8175405884834;"Control"
"247";8,56237360614709;"Control"
"248";10,318180318244;"Control"
"249";11,8784790066815;"Control"
"250";8,12510339864959;"Control"
"251";9,86566511525725;"Control"
"252";10,7871261941197;"Control"
"253";9,45798917801567;"Control"
"254";10,3880823335873;"Control"
"255";10,368086637447;"Control"
"256";9,84129699117314;"Control"
"257";9,15343791715299;"Control"
"258";9,81279281344076;"Control"
"259";9,95801596704523;"Control"
"260";10,7115749090493;"Control"
"261";10,7262137850022;"Control"
"262";9,29230414193208;"Control"
"263";9,43679603033045;"Control"
"264";9,68614296685664;"Control"
"265";9,50847733441839;"Control"
"266";8,44682226120041;"Control"
"267";8,35554786067164;"Control"
"268";10,6534446568212;"Control"
"269";11,3311850585246;"Control"
"270";12,5985691734271;"Control"
"271";9,61610613656633;"Control"
"272";9,91561769304617;"Control"
"273";11,1262570128275;"Control"
"274";9,67762640965408;"Control"
"275";8,17974019066706;"Control"
"276";10,7145452090277;"Control"
"277";9,55236066205842;"Control"
"278";8,73281340141245;"Control"
"279";10,0052432401909;"Control"
"280";9,6858675030949;"Control"
"281";10,9326782189002;"Control"
"282";9,80608787056109;"Control"
"283";10,2675697609869;"Control"
"284";9,27092303372248;"Control"
"285";10,0544051469439;"Control"
"286";9,01458683952832;"Control"
"287";10,3217767526536;"Control"
"288";9,89762328055777;"Control"
"289";10,4589173291747;"Control"
"290";8,77816137122966;"Control"
"291";9,68713344752638;"Control"
"292";9,1754146788085;"Control"
"293";11,9903935731628;"Control"
"294";11,3707993310116;"Control"
"295";8,9518934618253;"Control"
"296";11,0079697580144;"Control"
"297";11,4197754416179;"Control"
"298";9,37342908656777;"Control"
"299";9,44051003897346;"Control"
"300";11,5597607780843;"Control"
"301";9,48833607009725;"Control"
"302";10,0308319174098;"Control"
"303";10,6806419184969;"Control"
"304";11,5114651520455;"Control"
"305";10,5377196559251;"Control"
"306";10,0916805746671;"Control"
"307";10,0154916649155;"Control"
"308";10,4206746731865;"Control"
"309";11,1322261007538;"Control"
"310";10,601768592477;"Control"
"311";8,42539099492207;"Control"
"312";9,33060774610589;"Control"
"313";10,3527823336879;"Control"
"314";9,94280847182187;"Control"
"315";10,9145675843195;"Control"
"316";10,0133497407022;"Control"
"317";10,2776189907821;"Control"
"318";10,384718164157;"Control"
"319";10,3725822427537;"Control"
"320";8,26635218522862;"Control"
"321";9,56231578613995;"Control"
"322";10,5257565067198;"Control"
"323";12,2002944734815;"Control"
"324";10,2907659627625;"Control"
"325";9,35875870084417;"Control"
"326";9,1719532817473;"Control"
"327";9,71588290200621;"Control"
"328";9,76937802723518;"Control"
"329";7,95820697305415;"Control"
"330";8,00800818310193;"Control"
"331";10,2492994435424;"Control"
"332";10,1396413491057;"Control"
"333";10,7568150604224;"Control"
"334";11,2668996938392;"Control"
"335";11,5903542210678;"Control"
"336";10,0500264383373;"Control"
"337";9,64980764610543;"Control"
"338";9,57537057304875;"Control"
"339";10,1846454726792;"Control"
"340";10,7185594603555;"Control"
"341";9,93421361479983;"Control"
"342";9,43759255807807;"Control"
"343";10,092215842591;"Control"
"344";8,51957252234544;"Control"
"345";12,728284658092;"Control"
"346";10,8970649698168;"Control"
"347";10,1185480691165;"Control"
"348";9,99967492516055;"Control"
"349";10,1083218000698;"Control"
"350";11,4041578543879;"Control"
"351";9,82823603364457;"Control"
"352";11,9072921567161;"Control"
"353";10,0122380430546;"Control"
"354";9,91694018938817;"Control"
"355";10,0066682803181;"Control"
"356";8,67724351124643;"Control"
"357";9,22902124245626;"Control"
"358";10,343082515463;"Control"
"359";10,8656217521453;"Control"
"360";10,3540625472051;"Control"
"361";9,83396805885918;"Control"
"362";8,68623874923318;"Control"
"363";9,55280720523076;"Control"
"364";10,8417187598119;"Control"
"365";9,80234576619647;"Control"
"366";11,0176314951872;"Control"
"367";11,0375429233277;"Control"
"368";10,2100843597447;"Control"
"369";10,883556907071;"Control"
"370";9,05674606890254;"Control"
"371";10,1701871732333;"Control"
"372";9,69204136705588;"Control"
"373";9,89765282247326;"Control"
"374";10,2363115647996;"Control"
"375";9,59723658787183;"Control"
"376";9,75716756671297;"Control"
"377";9,65954476671245;"Control"
"378";10,2409635185315;"Control"
"379";8,96581193087496;"Control"
"380";10,208640396181;"Control"
"381";10,8380428365639;"Control"
"382";11,2318345538634;"Control"
"383";8,76888234140659;"Control"
"384";10,0737428363141;"Control"
"385";8,54399709728671;"Control"
"386";10,2720657821735;"Control"
"387";8,52407005550458;"Control"
"388";10,111757036907;"Control"
"389";10,0160686141987;"Control"
"390";9,24269194433858;"Control"
"391";9,33354992505705;"Control"
"392";10,0312725231228;"Control"
"393";9,83548772542475;"Control"
"394";9,50176067365822;"Control"
"395";10,8438402900556;"Control"
"396";10,3846426436586;"Control"
"397";10,6640056185732;"Control"
"398";10,136454795709;"Control"
"399";11,4234422439514;"Control"
"400";11,1850126661651;"Control"
"401";10,7665783647491;"Control"
"402";10,3184769112137;"Control"
"403";9,40194217371475;"Control"
"404";10,0081854560988;"Control"
"405";9,80700698851392;"Control"
"406";8,95880103115626;"Control"
"407";9,98590447267764;"Control"
"408";9,51807964729475;"Control"
"409";10,8948917699506;"Control"
"410";8,86587920850424;"Control"
"411";7,60435406074093;"Control"
"412";9,05055486048249;"Control"
"413";8,2410392673047;"Control"
"414";12,6637842120515;"Control"
"415";11,4253541056322;"Control"
"416";10,0208617676605;"Control"
"417";9,48250644389177;"Control"
"418";9,87329519052805;"Control"
"419";9,33265234414287;"Control"
"420";10,6788772781813;"Control"
"421";8,00361354135601;"Control"
"422";10,3049282558102;"Control"
"423";10,8602078498023;"Control"
"424";10,1203331431851;"Control"
"425";11,9238041547632;"Control"
"426";12,3402480477116;"Control"
"427";10,0885338380884;"Control"
"428";9,98220872105903;"Control"
"429";10,1910956095192;"Control"
"430";10,5859804677163;"Control"
"431";8,00261239822908;"Control"
"432";11,1579477358479;"Control"
"433";9,69332117833012;"Control"
"434";10,8779329958342;"Control"
"435";10,2879622522819;"Control"
"436";8,32608257805109;"Control"
"437";8,93710719081428;"Control"
"438";12,2354526719882;"Control"
"439";11,9987579386242;"Control"
"440";10,1033005680194;"Control"
"441";9,88356908546696;"Control"
"442";11,3621336455458;"Control"
"443";11,2494904935002;"Control"
"444";9,2450718260389;"Control"
"445";11,7048669870718;"Control"
"446";10,9604350590905;"Control"
"447";9,07378329372995;"Control"
"448";10,0479555655588;"Control"
"449";9,42512547109331;"Control"
"450";10,3229662228082;"Control"
"451";8,83072323969744;"Control"
"452";10,4031443765532;"Control"
"453";10,3399035934416;"Control"
"454";9,56025197457034;"Control"
"455";10,7727767780666;"Control"
"456";10,2704371380941;"Control"
"457";9,41405109398747;"Control"
"458";11,574950794326;"Control"
"459";8,85862303545592;"Control"
"460";9,26779536236625;"Control"
"461";10,2331258011126;"Control"
"462";11,2640354722949;"Control"
"463";9,93030753693382;"Control"
"464";9,12386994515549;"Control"
"465";9,73836611851552;"Control"
"466";12,5117106850689;"Control"
"467";8,9889442398797;"Control"
"468";9,79786125792881;"Control"
"469";9,05697606549483;"Control"
"470";10,8195751316213;"Control"
"471";9,64515677185776;"Control"
"472";10,7878381752036;"Control"
"473";8,93843775806166;"Control"
"474";10,736349099241;"Control"
"475";10,1279018931094;"Control"
"476";10,196624305505;"Control"
"477";10,2676492448735;"Control"
"478";8,79762812410858;"Control"
"479";9,09395274424867;"Control"
"480";9,6808689729449;"Control"
"481";10,3043310059376;"Control"
"482";11,5917945205843;"Control"
"483";10,2189551611432;"Control"
"484";11,1823227074184;"Control"
"485";10,495421678567;"Control"
"486";9,74077605009957;"Control"
"487";11,2868402712262;"Control"
"488";9,26677809039168;"Control"
"489";10,2600793806499;"Control"
"490";8,56810841366766;"Control"
"491";12,241950523201;"Control"
"492";8,3417995141145;"Control"
"493";9,14164132042479;"Control"
"494";10,5341581606467;"Control"
"495";8,02195269184861;"Control"
"496";9,10817804968015;"Control"
"497";10,0606759290134;"Control"
"498";11,3552021352942;"Control"
"499";9,14299783642627;"Control"
"500";9,58303570968411;"Control"
"501";9,67261884258;"Control"
"502";10,603331242776;"Control"
"503";10,6296853079939;"Control"
"504";11,1956080667253;"Control"
"505";10,1880203196293;"Control"
"506";10,4510957939518;"Control"
"507";10,2773480592856;"Control"
"508";10,3128790674975;"Control"
"509";10,0658226572881;"Control"
"510";10,8266814049189;"Control"
"511";9,25846499185851;"Control"
"512";9,63785609700653;"Control"
"513";8,21177175063462;"Control"
"514";10,2609662542935;"Control"
"515";8,72689689993531;"Control"
"516";9,35270626978132;"Control"
"517";8,69496917342793;"Control"
"518";9,99482703569557;"Control"
"519";10,7518762331343;"Control"
"520";8,58372616487577;"Control"
"521";11,5040560603172;"Control"
"522";8,44069530033503;"Control"
"523";10,5240563728151;"Control"
"524";8,69316430690581;"Control"
"525";12,4882770327065;"Control"
"526";10,3793161498337;"Control"
"527";10,5718974891359;"Control"
"528";11,2864006834706;"Control"
"529";9,86992469540689;"Control"
"530";9,2567464795643;"Control"
"531";8,78398851218044;"Control"
"532";9,1238224815773;"Control"
"533";10,173803849208;"Control"
"534";8,59369441883842;"Control"
"535";11,8897774478295;"Control"
"536";11,1147261890143;"Control"
"537";9,97065788285244;"Control"
"538";10,6512364277878;"Control"
"539";8,93784950175663;"Control"
"540";9,31438740433564;"Control"
"541";10,916229376436;"Control"
"542";11,1608693155642;"Control"
"543";8,20251753625936;"Control"
"544";9,7821993531842;"Control"
"545";10,484967081742;"Control"
"546";10,9739287498498;"Control"
"547";10,2610744134435;"Control"
"548";8,78009049875068;"Control"
"549";11,1690784219038;"Control"
"550";11,4995664874117;"Control"
